nom;Budget général;Comptes d'affectation spéciale;
Concours financiers aux collectivités territoriales et à leurs groupements;3.477652;;
Fonds d'accélération de la transition écologique dans les territoires;0.837488;;
Contribution à l'équipement des collectivités territoriales pour l'amélioration des transports en commun, de la sécurité et de la circulation routières;;0.806735;
Concours spécifiques et administration;0.31075815;;
Impulsion et coordination de la politique d'aménagement du territoire;0.27961664;;
