nom;Budget général;Comptes d'affectation spéciale;
Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;2.163981166;;
Enseignement technique agricole;1.748675487;;
Sécurité et qualité sanitaires de l'alimentation;0.833796254;;
Conduite et pilotage des politiques de l'agriculture;0.641702145;;
Enseignement supérieur et recherche agricoles;0.468009063;;
Allègements du coût du travail en agriculture (TODE-AG);0.449;;
Recherche appliquée et innovation en agriculture;;0.10307;
Développement et transfert en agriculture;;0.06793;
