nom;Budget général;
Handicap et dépendance;16.39521278;
Protection maladie;1.2163;
Prévention, sécurité sanitaire et offre de soins;0.426503247;
Reversement à la sécurité sociale des recettes de la Facilité pour la Relance et la Résilience (FRR) européenne au titre du volet « Ségur investissement » du plan national de relance et de résilience (PNRR);0.242;
