nom;Budget général;
Aide à l'accès au logement;16.5721;
Hébergement, parcours vers le logement et insertion des personnes vulnérables;3.0466858;
Urbanisme, territoires et amélioration de l'habitat;1.8383412;
Politique de la ville;0.636747054;
