nom;Budget général;
Inclusion sociale et protection des personnes;14.78390376;
Accompagnement des mutations économiques et développement de l'emploi;11.210280236;
Accès et retour à l'emploi;6.807356083;
Soutien des ministères sociaux;1.96845558;
Amélioration de la qualité de l'emploi et des relations du travail;0.040590773;
