nom;Budget général;
Enseignement scolaire public du second degré;40.001673836;
Enseignement scolaire public du premier degré;27.909689203;
Enseignement privé du premier et du second degrés;8.870671422;
Vie de l'élève;8.056799486;
Soutien de la politique de l'éducation nationale;3.012678406;
