nom;Budget général;
Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;3.147975099;
Prévention des risques;2.597898284;
Régimes de retraite et de sécurité sociale des marins;0.8112677;
Expertise, information géographique et météorologie;0.66820195;
Paysages, eau et biodiversité;0.375462626;
Affaires maritimes, pêche et aquaculture;0.350283678;
