nom;Budget général;
Action de la France en Europe et dans le monde;2.685599559;
Fonds de solidarité pour le développement;1.84369;
Solidarité à l'égard des pays en développement;1.08113461;
Diplomatie culturelle et d'influence;0.611326585;
Français à l'étranger et affaires consulaires;0.1525274;
