nom;Budget général;
Administration pénitentiaire;5.16299706;
Justice judiciaire;4.676345986;
Protection judiciaire de la jeunesse;1.156380218;
Accès au droit et à la justice;0.8064776;
Conduite et pilotage de la politique de la justice;0.781840309;
Conseil supérieur de la magistrature;0.005462045;
